External ID,A1 Attention,A1 Addressee,A1 Address 1,A1 City,A1 State,A1 Zip,A1 Country,A1 Default Shipping,A1 Default Billing,A2 Attention,A2 Addressee,A2 Address 1,A2 City,A2 State,A2 Zip,A2 Country,A2 Default Shipping,A2 Default Billing
NORDRACK-3724,Store # 3724,The Gates of Prosper Rack,"1191 Gates Pkwy, Ste 200",Prosper,TX,75078,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3726,Store # 3726,West End Center Rack,2624 W Loop 289,Lubbock,TX,79407,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3729,Store # 3729,Elmwood Shopping Center Rack,"1002 S Clearview Pkwy, Ste B",Harahan,LA,70123,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3731,Store # 3731,Denver West Village Rack,14357 W Colfax Ave,Lakewood,CO,80401,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3732,Store # 3732,Harvest Junction Rack,"205 Ken Pratt Blvd, Ste 240",Longmont,CO,80501,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3733,Store # 3733,Junction Commons Rack,"6699 N Landmark Dr, Ste E100",Park City,UT,84098,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3735,Store # 3735,Dillon Ridge Rack,318 Dillon Ridge Rd,Dillon,CO,80435,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3761,Store # 3761,Queen Creek Marketplace Rack,21258 S Ellsworth Loop Rd,Queen Creek,AZ,85142,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-3762,Store # 3762,Prasada North Rack,14067 N Prasada Pkwy,Surprise,AZ,85388,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-4421,Store # 4421,The Davis Collection Rack,"835 Russell Blvd, Ste 150",Davis,CA,95616,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
