External ID,Addressee,Attention,Address 1,City,State,Zip,Country,Default Shipping,Default Billing
NORDRACK-783,Nordstrom - 783 - North Point Market Center Rack,,6200 N Point Pkwy,Alpharetta,GA,30022,US,T,T
NORDRACK-784,Nordstrom - 784 - Palm Beach Outlets Rack,,1865 Palm Beach Lakes Blvd,West Palm Beach,FL,33401,US,T,T
NORDRACK-785,Nordstrom - 785 - Belle Isle Station Rack,,1741 Belle Isle Blvd,Oklahoma City,OK,73118,US,T,T
NORDRACK-786,Nordstrom - 786 - Shoppes at University Town Center Rack,,8551 Cooper Creek Blvd,University Park,FL,34201,US,T,T
NORDRACK-787,Nordstrom - 787 - River Ridge Shopping Center Rack,,339 Summit Blvd,Birmingham,AL,35242,US,T,T
NORDRACK-788,Nordstrom - 788 - Perimeter Expo Rack,,1201 Hammond Dr NE,Dunwoody,GA,30346,US,T,T
NORDRACK-791,Nordstrom - 791 - Harbison Court Rack,,278 Harbison Blvd,Columbia,SC,29212,US,T,T
NORDRACK-792,Nordstrom - 792 - Magnolia Park Rack,,1025 Woodruff Rd,Greenville,SC,29607,US,T,T
NORDRACK-793,Nordstrom - 793 - Countryside Mall Rack,,2435 State Rd 580,Clearwater,FL,33761,US,T,T
NORDRACK-796,Nordstrom - 796 - Lake Brandon Plaza Rack,,11201 Causeway Blvd,Brandon,FL,33511,US,T,T
NORDRACK-797,Nordstrom - 797 - The Shops at Midtown Miami Rack,,3201 N Miami Ave,Miami,FL,33127,US,T,T
NORDRACK-798,Nordstrom - 798 - The Mall of Louisiana Rack,,9330 Mall of Louisiana Blvd,Baton Rouge,LA,70836,US,T,T
NORDRACK-1003,Nordstrom - 1003 - The Village at Meridian Rack,,"2260 N Eagle Rd, Ste 120",Meridian,ID,83646,US,T,T
NORDRACK-1015,Nordstrom - 1015 - Tri Citites Center Rack,,"7411 W Canal Dr, Ste K",Kennewick,WA,99336,US,T,T
NORDRACK-1018,Nordstrom - 1018 - Northpointe Plaza Rack,,9612 N Newport Hwy,Spokane,WA,99218,US,T,T
NORDRACK-2221,Nordstrom - 2221 - Danada Square East Rack,,71 Danada Square E,Wheaton,IL,60189,US,T,T
NORDRACK-2223,Nordstrom - 2223 - Randal Square Rack,,1580 S Randall Rd,Geneva,IL,60134,US,T,T
NORDRACK-2224,Nordstrom - 2224 - Bloomingdale Court Rack,,362 W Army Trail Rd #230,Bloomingdale,IL,60108,US,T,T
NORDRACK-2235,Nordstrom - 2235 - Shoppes at Stadium Rack,,"201 N Stadium Blvd, Ste 105",Columbia,MO,65203,US,T,T
NORDRACK-2242,Nordstrom - 2242 - Village Pointe Rack,,255 N 170th St,Omaha,NE,68118,US,T,T
NORDRACK-2243,Nordstrom - 2243 - Fischer Marketplace Rack,,14910 Florance Trl,Apple Valley,MN,55124,US,T,T
NORDRACK-2261,Nordstrom - 2261 - Macedonia Gateway Rack,,"500 E Aurora Rd, Unit 2",Macedonia,OH,44056,US,T,T
NORDRACK-2262,Nordstrom - 2262 - Deerfield Towne Center Rack,,5800 Deerfield Blvd,Mason,OH,45040,US,T,T
NORDRACK-2263,Nordstrom - 2263 - Hamilton Town Center Rack,,"14139 Town Center Blvd, Ste 800",Noblesville,IN,46060,US,T,T
NORDRACK-2264,Nordstrom - 2264 - The Venue at Belden Rack,,3939 Everhard Rd NW,Canton,OH,44709,US,T,T
NORDRACK-2265,Nordstrom - 2265 - Montrose Plaza Rack,,3977 Medina Rd,Akron,OH,44333,US,T,T
NORDRACK-2281,"Nordstrom - 2281 - Hunter's Square Rack (Farmington Hills, MI)",,5050 Chavenelle Rd,Dubuque,IA,52002,US,T,T
NORDRACK-3341,Nordstrom - 3341 - The Village Walk Rack,,"18700 W Ventura Blvd, Ste 190A",Tarzana,CA,91356,US,T,T
NORDRACK-3361,Nordstrom - 3361 - Pacific Coast Plaza Rack,,2168 Vista Way,Oceanside,CA,92054,US,T,T
NORDRACK-3362,Nordstrom - 3362 - Clairemont Town Square Rack,,4829 Clairemont Dr,San Diego,CA,92117,US,T,T
NORDRACK-3363,Nordstrom - 3363 - El Camino Promenade Rack,,222 N El Camino Real,Encinitas,CA,92024,US,T,T
NORDRACK-3716,Nordstrom - 3716 - Las Tiendas Shopping Center Rack,,"700 E Expwy 83, Ste 200",McAllen,TX,78503,US,T,T
NORDRACK-3719,Nordstrom - 3719 - Highlands of Flower Mound Rack,,"6101 Long Prairie Rd, Ste 500",Flower Mound,TX,75028,US,T,T
NORDRACK-3721,Nordstrom - 3721 - Meryerland Plaza Rack,,100 Meyerland Plaza Mall,Houston,TX,77096,US,T,T
NORDRACK-3722,Nordstrom - 3722 - Westchase Shopping Center Rack,,10885 Westheimer Rd,Houston,TX,77042,US,T,T
NORDRACK-3724,Nordstrom - 3724 - The Gates of Prosper Rack,,"1191 Gates Pkwy, Ste 200",Prosper,TX,75078,US,T,T
NORDRACK-3726,Nordstrom - 3726 - West End Center Rack,,2624 W Loop 289,Lubbock,TX,79407,US,T,T
NORDRACK-3729,Nordstrom - 3729 - Elmwood Shopping Center Rack,,"1002 S Clearview Pkwy, Ste B",Harahan,LA,70123,US,T,T
NORDRACK-3731,Nordstrom - 3731 - Denver West Village Rack,,14357 W Colfax Ave,Lakewood,CO,80401,US,T,T
NORDRACK-3732,Nordstrom - 3732 - Harvest Junction Rack,,"205 Ken Pratt Blvd, Ste 240",Longmont,CO,80501,US,T,T
NORDRACK-3733,Nordstrom - 3733 - Junction Commons Rack,,"6699 N Landmark Dr, Ste E100",Park City,UT,84098,US,T,T
NORDRACK-3735,Nordstrom - 3735 - Dillon Ridge Rack,,318 Dillon Ridge Rd,Dillon,CO,80435,US,T,T
NORDRACK-3761,Nordstrom - 3761 - Queen Creek Marketplace Rack,,21258 S Ellsworth Loop Rd,Queen Creek,AZ,85142,US,T,T
NORDRACK-3762,Nordstrom - 3762 - Prasada North Rack,,14067 N Prasada Pkwy,Surprise,AZ,85388,US,T,T
NORDRACK-4421,Nordstrom - 4421 - The Davis Collection Rack,,"835 Russell Blvd, Ste 150",Davis,CA,95616,US,T,T
NORDRACK-5501,Nordstrom - 5501 - The Shops at SunVet Rack,,"5801 Sunrise Hwy, Ste B8-700",Holbrook,NY,11741,US,T,T
NORDRACK-5502,Nordstrom - 5502 - Smith Haven Plaza Rack,,2041 Smith Haven Plz,Lake Grove,NY,11755,US,T,T
NORDRACK-5511,Nordstrom - 5511 - Gardiner Manor Mall Rack,,854 Sunrise Hwy,Bay Shore,NY,11706,US,T,T
NORDRACK-5521,Nordstrom - 5521 - Manalapan Commons Rack,,"13 US-9, Space 1A",Manalapan Township,NJ,07726,US,T,T
NORDRACK-5522,Nordstrom - 5522 - Deptford Town Center Rack,,1775 Deptford Center Rd,Deftford,NJ,08096,US,T,T
NORDRACK-5523,Nordstrom - 5523 - Willow Ridge Rack,,"740 NJ Rte 73 S, Ste 740",Marlton,NJ,08053,US,T,T
NORDRACK-5524,Nordstrom - 5524 - Brunswick Square Rack,,"755 State Rte 18, Ste N102",East Brunswick,NJ,08816,US,T,T
NORDRACK-5525,Nordstrom - 5525 - Interstate Shopping Center Rack,,255 Interstate Shop Center,Ramsey,NJ,07446,US,T,T
NORDRACK-5531,Nordstrom - 5531 - Royal Ridge Center Rack,,213 Daniel Webster Hwy,Nashua,NH,03060,US,T,T
NORDRACK-5543,Nordstrom - 5543 - Mansfield Crossing Rack,,280 School St Ste I-100,Mansfield,MA,02048,US,T,T
NORDRACK-5548,Nordstrom - 5548 - Colony Place Rack,,242 Colony Pl,Plymouth,MA,02360,US,T,T
NORDRACK-5549,Nordstrom - 5549 - Landing at Hyannis Rack,,790 Lyannough Rd,Hyannis,MA,02601,US,T,T
